Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity,Dimension,Type
CAP-671,dolphin,0.45228687600891004,5.864843201,0.0001,50,alpha_0.0_s2v
CAP-671,whale,0.5913816539767757,6.338615042,0.1667,50,alpha_0.0_s2v
CAP-671,chicken,0.4317383475518177,6.827585591,0.0001,50,alpha_0.0_s2v
CAP-671,cow,0.6985950791001703,6.679047222,0.2,50,alpha_0.0_s2v
CAP-671,horse,0.7227680387508737,7.396710537,0.0001,50,alpha_0.0_s2v
CAP-671,butterfly,0.273139605068326,6.225709011,0.0001,50,alpha_0.0_s2v
CAP-671,bear,0.3405122160576277,7.366226929,0.1429,50,alpha_0.0_s2v
CAQ-672,alligator,0.0001,5.714162885,0.0001,50,alpha_0.0_s2v
CAQ-672,water,0.5377017413680854,8.128616304,0.2857,50,alpha_0.0_s2v
CAQ-672,ostrich,0.49258050438034173,5.653586811,0.1667,50,alpha_0.0_s2v
CAQ-672,peacock,0.6882396401908036,6.002633379,0.0001,50,alpha_0.0_s2v
CAQ-672,bear,0.30189176359621783,7.366226929,0.0001,50,alpha_0.0_s2v
CAQ-672,tiger,0.4121649410287902,6.38952206,0.0001,50,alpha_0.0_s2v
CAQ-672,lion,0.8378177294278365,6.723957079,0.25,50,alpha_0.0_s2v
CAQ-672,gorilla,0.4019849741535031,5.657093158,0.0001,50,alpha_0.0_s2v
CAQ-672,monkey,0.47474762339277077,6.401926546,0.0001,50,alpha_0.0_s2v
CAQ-672,dog,0.739897773309825,7.256114028,0.0001,50,alpha_0.0_s2v
CAQ-672,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CAQ-672,hyena,0.5691314542700241,5.284998893,0.0001,50,alpha_0.0_s2v
CAQ-672,snake,0.6555257069153386,6.615078486,0.0001,50,alpha_0.0_s2v
CAQ-672,fish,0.5483837110446631,7.344814258,0.0001,50,alpha_0.0_s2v
CAQ-672,bird,0.5424227449726353,7.119400245,0.0001,50,alpha_0.0_s2v
CAQ-672,rabbit,0.6869441198052898,6.568628649,0.2,50,alpha_0.0_s2v
CAQ-672,dolphin,0.376842747177516,5.864843201,0.1667,50,alpha_0.0_s2v
CAQ-672,squirrel,0.5137881417255108,6.080840335,0.1667,50,alpha_0.0_s2v
CAQ-672,guinea,0.5465588310106537,6.538172807,0.0001,50,alpha_0.0_s2v
CAR-673,elephant,0.0001,6.363660295,0.0001,50,alpha_0.0_s2v
CAR-673,african,0.49941653269743447,7.284544989,0.2857,50,alpha_0.0_s2v
CAR-673,tiger,0.4838577619832547,6.38952206,0.0001,50,alpha_0.0_s2v
CAR-673,lion,0.8378177294278365,6.723957079,0.25,50,alpha_0.0_s2v
CAR-673,feline,0.47033646917650995,5.559176205,0.2,50,alpha_0.0_s2v
CAR-673,dog,0.45085857633961135,7.256114028,0.0001,50,alpha_0.0_s2v
CAR-673,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CAR-673,mouse,0.7996426462737826,6.776846046,0.0001,50,alpha_0.0_s2v
CAR-673,rat,0.7683530547413481,6.766463413,0.0001,50,alpha_0.0_s2v
CAR-673,ostrich,0.4642099735852885,5.653586811,0.1667,50,alpha_0.0_s2v
CAR-673,parakeet,0.686705606013943,4.868873573,0.0001,50,alpha_0.0_s2v
CAR-673,fish,0.5690045661034963,7.344814258,0.0001,50,alpha_0.0_s2v
CAR-673,rodents,0.2941525941822236,5.818422536,0.0001,50,alpha_0.0_s2v
CAR-673,pets,0.6249058558252313,6.144792078,0.2857,50,alpha_0.0_s2v
CAR-673,guinea,0.4863844228592955,6.538172807,0.0001,50,alpha_0.0_s2v
CAR-673,rodents,0.3158534300258944,5.818422536,0.1429,50,alpha_0.0_s2v
CAR-673,zebra,0.5462123274553972,5.561689192,0.0001,50,alpha_0.0_s2v
CAR-673,horse,0.409021951583735,7.396710537,0.2,50,alpha_0.0_s2v
CAR-673,tiger,0.38601421364725574,6.38952206,0.0001,50,alpha_0.0_s2v
CAS-674,cat,0.0001,7.013143358,0.0001,50,alpha_0.0_s2v
CAS-674,dog,0.87457859760686,7.256114028,0.0001,50,alpha_0.0_s2v
CAS-674,fish,0.5540716263088391,7.344814258,0.0001,50,alpha_0.0_s2v
CAS-674,shark,0.7093772702257075,6.054603863,0.0001,50,alpha_0.0_s2v
CAS-674,dolphin,0.5310170102931813,5.864843201,0.1667,50,alpha_0.0_s2v
CAS-674,shrimp,0.5901413905487815,6.17749985,0.0001,50,alpha_0.0_s2v
CAS-674,crab,0.6321252158274446,6.158116322,0.2,50,alpha_0.0_s2v
CAS-674,lobster,0.7145779149871907,5.989108389,0.0001,50,alpha_0.0_s2v
CAS-674,reptile,0.4575887902612418,5.656324398,0.0001,50,alpha_0.0_s2v
CAS-674,bear,0.47783125425824435,7.366226929,0.1667,50,alpha_0.0_s2v
CAS-674,lion,0.4958711032494342,6.723957079,0.0001,50,alpha_0.0_s2v
CAS-674,tiger,0.8378177294278365,6.38952206,0.25,50,alpha_0.0_s2v
CAS-674,eagle,0.7028733196986346,6.640854253,0.0001,50,alpha_0.0_s2v
CAS-674,falcon,0.6723626545093574,5.93662582,0.1667,50,alpha_0.0_s2v
CAS-674,raven,0.7121667253014341,6.2387933,0.3333,50,alpha_0.0_s2v
CAS-674,lizard,0.6509910535696963,5.89522027,0.0001,50,alpha_0.0_s2v
CAS-674,reptile,0.6547338103244728,5.656324398,0.0001,50,alpha_0.0_s2v
CAS-674,alligator,0.5759386021830708,5.714162885,0.0001,50,alpha_0.0_s2v
CAV-678,dog,0.0001,7.256114028,0.0001,50,alpha_0.0_s2v
CAV-678,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CAV-678,bird,0.7113119291740696,7.119400245,0.0001,50,alpha_0.0_s2v
CAV-678,elephant,0.6841970599865758,6.363660295,0.0001,50,alpha_0.0_s2v
CAV-678,kangaroo,0.5462353500999019,5.566218227,0.0001,50,alpha_0.0_s2v
CAV-678,feline,0.4084980401352063,5.559176205,0.0001,50,alpha_0.0_s2v
CAV-678,lion,0.47033646917650995,6.723957079,0.2,50,alpha_0.0_s2v
CAV-678,tiger,0.8378177294278365,6.38952206,0.25,50,alpha_0.0_s2v
CAV-678,bear,0.4121649410287902,7.366226929,0.0001,50,alpha_0.0_s2v
CAV-678,reptile,0.47783125425824435,5.656324398,0.1667,50,alpha_0.0_s2v
CAV-678,kangaroo,0.6498098909623269,5.566218227,0.0001,50,alpha_0.0_s2v
CAV-678,pelican,0.3534657033265214,5.581928051,0.0001,50,alpha_0.0_s2v
CAV-678,penguin,0.5093177131487474,6.25042049,0.5714,50,alpha_0.0_s2v
CAV-678,polar,0.49988271006308493,6.534516632,0.1429,50,alpha_0.0_s2v
CAV-678,grizzly,0.3241151310566369,5.735626042,0.1667,50,alpha_0.0_s2v
CAV-678,moose,0.7029201707992476,5.977754233,0.0001,50,alpha_0.0_s2v
CAV-678,turtle,0.6355024692463058,6.229758099,0.0001,50,alpha_0.0_s2v
CAV-678,bird,0.5975955453165042,7.119400245,0.2,50,alpha_0.0_s2v
CAV-678,rhinoceros,0.6148252511312479,5.506841784,0.0001,50,alpha_0.0_s2v
CAV-678,bird,0.6148252511312479,7.119400245,0.0001,50,alpha_0.0_s2v
CAV-678,parakeet,0.4405408426860884,4.868873573,0.0001,50,alpha_0.0_s2v
CAV-678,alligator,0.6356534508567282,5.714162885,0.1429,50,alpha_0.0_s2v
CAV-678,crocodile,0.6885341129208665,5.741384054,0.0001,50,alpha_0.0_s2v
CAV-678,zebra,0.5522962658427225,5.561689192,0.125,50,alpha_0.0_s2v
CAV-678,horse,0.409021951583735,7.396710537,0.2,50,alpha_0.0_s2v
CAV-678,rooster,0.4699916410025716,5.703855165,0.0001,50,alpha_0.0_s2v
CAV-678,chicken,0.564108453428699,6.827585591,0.0001,50,alpha_0.0_s2v
CAY-681,penguin,0.0001,6.25042049,0.0001,50,alpha_0.0_s2v
CAY-681,snake,0.37510622754635414,6.615078486,0.0001,50,alpha_0.0_s2v
CAY-681,elephant,0.6691336028976156,6.363660295,0.0001,50,alpha_0.0_s2v
CAY-681,african,0.49941653269743447,7.284544989,0.2857,50,alpha_0.0_s2v
CAY-681,dog,0.4184401844606117,7.256114028,0.0001,50,alpha_0.0_s2v
CAY-681,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CAY-681,gorilla,0.4993122287039784,5.657093158,0.0001,50,alpha_0.0_s2v
CAY-681,primate,0.4110116784938215,5.892763902,0.0001,50,alpha_0.0_s2v
CAY-681,ape,0.2653174512555715,6.012398914,0.0001,50,alpha_0.0_s2v
CAY-681,insect,0.46391170945820304,6.519563532,0.0001,50,alpha_0.0_s2v
CAY-681,butterfly,0.5615997771063231,6.225709011,0.0001,50,alpha_0.0_s2v
CAY-681,ladybug,0.5832538620464783,4.670032365,0.0001,50,alpha_0.0_s2v
CAY-681,beetle,0.6106576802177028,6.021866684,0.0001,50,alpha_0.0_s2v
CAY-681,worm,0.6928588633094876,6.383063674,0.0001,50,alpha_0.0_s2v
CAY-681,ant,0.6659030571317933,6.426146105,0.0001,50,alpha_0.0_s2v
CAY-681,lizard,0.5851773454733081,5.89522027,0.0001,50,alpha_0.0_s2v
CAY-681,insect,0.6524504946475616,6.519563532,0.0001,50,alpha_0.0_s2v
CAY-681,human,0.5441155886606749,7.989650076,0.0001,50,alpha_0.0_s2v
CBD-686,lion,0.0001,6.723957079,0.0001,50,alpha_0.0_s2v
CBD-686,tiger,0.8378177294278365,6.38952206,0.25,50,alpha_0.0_s2v
CBD-686,monkey,0.7235815449499676,6.401926546,0.0001,50,alpha_0.0_s2v
CBD-686,baboon,0.6724162513651412,5.366632115,0.0001,50,alpha_0.0_s2v
CBD-686,african,0.532045073049959,7.284544989,0.2857,50,alpha_0.0_s2v
CBD-686,elephant,0.49941653269743447,6.363660295,0.2857,50,alpha_0.0_s2v
CBD-686,buffalo,0.6166469810256058,6.710471006,0.2857,50,alpha_0.0_s2v
CBD-686,polar,0.3803838396806425,6.534516632,0.1667,50,alpha_0.0_s2v
CBD-686,bear,0.1774199379559196,7.366226929,0.0001,50,alpha_0.0_s2v
CBD-686,grizzly,0.48724259847293894,5.735626042,0.0001,50,alpha_0.0_s2v
CBD-686,duck,0.5550634346965171,6.439638803,0.0001,50,alpha_0.0_s2v
CBD-686,crocodile,0.7091533035480977,5.741384054,0.125,50,alpha_0.0_s2v
CBD-686,alligator,0.6885341129208665,5.714162885,0.0001,50,alpha_0.0_s2v
CBD-686,crocodile,0.6885341129208665,5.741384054,0.0001,50,alpha_0.0_s2v
CBD-686,girdle,0.2697328300742414,5.943410914,0.25,50,alpha_0.0_s2v
CBD-686,asian,0.4123978366509984,6.798455065,0.2,50,alpha_0.0_s2v
CBD-686,sheep,0.3028757074790269,6.924172871,0.0001,50,alpha_0.0_s2v
CBF-691,dog,0.0001,7.256114028,0.0001,50,alpha_0.0_s2v
CBF-691,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CBF-691,fish,0.5811393626954857,7.344814258,0.0001,50,alpha_0.0_s2v
CBF-691,elephant,0.5002570963765797,6.363660295,0.1429,50,alpha_0.0_s2v
CBF-691,feline,0.38773842584511065,5.559176205,0.1429,50,alpha_0.0_s2v
CBF-691,tiger,0.4633312509301666,6.38952206,0.0001,50,alpha_0.0_s2v
CBF-691,lion,0.8378177294278365,6.723957079,0.25,50,alpha_0.0_s2v
CBF-691,polar,0.25321088189149266,6.534516632,0.0001,50,alpha_0.0_s2v
CBF-691,turtle,0.30659688890707704,6.229758099,0.0001,50,alpha_0.0_s2v
CBF-691,penguin,0.3566098097514717,6.25042049,0.1429,50,alpha_0.0_s2v
CBF-691,african,0.6374700450488723,7.284544989,0.2857,50,alpha_0.0_s2v
CBF-691,pets,0.2642228130992734,6.144792078,0.0001,50,alpha_0.0_s2v
CBF-691,rodents,0.6249058558252313,5.818422536,0.2857,50,alpha_0.0_s2v
CBF-691,squirrel,0.3582068651367516,6.080840335,0.0001,50,alpha_0.0_s2v
CBF-691,rabbit,0.8030029465632129,6.568628649,0.1667,50,alpha_0.0_s2v
CBF-691,coyote,0.6601180266653127,6.007340169,0.0001,50,alpha_0.0_s2v
CBH-693,dog,0.0001,7.256114028,0.0001,50,alpha_0.0_s2v
CBH-693,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CBH-693,fish,0.5811393626954857,7.344814258,0.0001,50,alpha_0.0_s2v
CBH-693,jellyfish,0.8457700314341969,5.224579675,0.2857,50,alpha_0.0_s2v
CBH-693,shark,0.6920276442990135,6.054603863,0.0001,50,alpha_0.0_s2v
CBH-693,kangaroo,0.5321625279269788,5.566218227,0.0001,50,alpha_0.0_s2v
CBH-693,camel,0.5188062721446711,6.123051541,0.1667,50,alpha_0.0_s2v
CBH-693,alligator,0.5050713847992001,5.714162885,0.1429,50,alpha_0.0_s2v
CBH-693,leopard,0.6682775356790593,5.875985616,0.1429,50,alpha_0.0_s2v
CBH-693,penguin,0.538044107812021,6.25042049,0.1429,50,alpha_0.0_s2v
CBH-693,polar,0.49988271006308493,6.534516632,0.1429,50,alpha_0.0_s2v
CBH-693,bear,0.1774199379559196,7.366226929,0.0001,50,alpha_0.0_s2v
CBH-693,antelope,0.37709402075603093,5.845170623,0.0001,50,alpha_0.0_s2v
CBH-693,insect,0.5374860838839233,6.519563532,0.1429,50,alpha_0.0_s2v
CBH-693,lizard,0.6524504946475616,5.89522027,0.0001,50,alpha_0.0_s2v
CBH-693,bird,0.6966627736513161,7.119400245,0.2,50,alpha_0.0_s2v
CBH-693,peacock,0.6947537403681799,6.002633379,0.0001,50,alpha_0.0_s2v
CBH-693,monkey,0.5308081345067502,6.401926546,0.0001,50,alpha_0.0_s2v
CBH-693,primate,0.1238532407434817,5.892763902,0.0001,50,alpha_0.0_s2v
CBH-693,lion,0.1887475592687904,6.723957079,0.1667,50,alpha_0.0_s2v
CBH-693,tiger,0.8378177294278365,6.38952206,0.25,50,alpha_0.0_s2v
CBH-693,crocodile,0.745523619425592,5.741384054,0.0001,50,alpha_0.0_s2v
CBJ-697,lion,0.0001,6.723957079,0.0001,50,alpha_0.0_s2v
CBJ-697,tiger,0.8378177294278365,6.38952206,0.25,50,alpha_0.0_s2v
CBJ-697,bird,0.6617692801171632,7.119400245,0.0001,50,alpha_0.0_s2v
CBJ-697,monkey,0.6469832735526759,6.401926546,0.0001,50,alpha_0.0_s2v
CBJ-697,parrot,0.7333106287217795,5.921096266,0.0001,50,alpha_0.0_s2v
CBJ-697,ferret,0.5209356155827138,5.531510849,0.8,50,alpha_0.0_s2v
CBJ-697,cat,0.5258985334381975,7.013143358,0.2,50,alpha_0.0_s2v
CBJ-697,dog,0.87457859760686,7.256114028,0.0001,50,alpha_0.0_s2v
CBJ-697,fish,0.5540716263088391,7.344814258,0.0001,50,alpha_0.0_s2v
CBJ-697,primate,0.18769431805288717,5.892763902,0.0001,50,alpha_0.0_s2v
CBJ-697,squirrel,0.137505553426846,6.080840335,0.0001,50,alpha_0.0_s2v
CBJ-697,zebra,0.603952380561577,5.561689192,0.1667,50,alpha_0.0_s2v
CBJ-697,elephant,0.6046264390369215,6.363660295,0.1429,50,alpha_0.0_s2v
CBJ-697,jaguar,0.5730628728369477,5.702579584,0.0001,50,alpha_0.0_s2v
CBJ-697,feline,0.41074347717415605,5.559176205,0.0001,50,alpha_0.0_s2v
CBJ-697,rhinoceros,0.3846739236972512,5.506841784,0.0001,50,alpha_0.0_s2v
CBJ-697,asian,0.5297125083906422,6.798455065,0.125,50,alpha_0.0_s2v
CBJ-697,australian,0.7297555371267592,6.530851419,0.3333,50,alpha_0.0_s2v
CBL-698,canine,0.0001,5.927853157,0.0001,50,alpha_0.0_s2v
CBL-698,terrier,0.5947868657727606,5.578885508,0.0001,50,alpha_0.0_s2v
CBL-698,cat,0.6380615787479758,7.013143358,0.0001,50,alpha_0.0_s2v
CBL-698,dog,0.87457859760686,7.256114028,0.0001,50,alpha_0.0_s2v
CBL-698,bird,0.677669803388224,7.119400245,0.0001,50,alpha_0.0_s2v
CBL-698,parakeet,0.4405408426860884,4.868873573,0.0001,50,alpha_0.0_s2v
CBL-698,pelican,0.5899330585107515,5.581928051,0.5714,50,alpha_0.0_s2v
CBL-698,parrot,0.39474693743880274,5.921096266,0.4286,50,alpha_0.0_s2v
CBL-698,pelican,0.39474693743880274,5.581928051,0.4286,50,alpha_0.0_s2v
CBL-698,reptile,0.48722892628055625,5.656324398,0.1429,50,alpha_0.0_s2v
CBL-698,australian,0.3610617348057594,6.530851419,0.1111,50,alpha_0.0_s2v
CBL-698,kangaroo,0.22927132868730793,5.566218227,0.0001,50,alpha_0.0_s2v
CBL-698,african,0.43630827552624685,7.284544989,0.0001,50,alpha_0.0_s2v
CBL-698,elephant,0.49941653269743447,6.363660295,0.2857,50,alpha_0.0_s2v
CBL-698,tiger,0.6005211133387937,6.38952206,0.0001,50,alpha_0.0_s2v
CBL-698,zebra,0.6161687794568096,5.561689192,0.0001,50,alpha_0.0_s2v
CBM-702,tiger,0.0001,6.38952206,0.0001,50,alpha_0.0_s2v
CBM-702,dolphin,0.47563015287158006,5.864843201,0.0001,50,alpha_0.0_s2v
CBM-702,lion,0.6260352174281147,6.723957079,0.5,50,alpha_0.0_s2v
CBM-702,penguin,0.4232188804960284,6.25042049,0.2857,50,alpha_0.0_s2v
CBM-702,bird,0.31170396129191114,7.119400245,0.0001,50,alpha_0.0_s2v
CBM-702,pigeon,0.7259693088449979,6.10484819,0.0001,50,alpha_0.0_s2v
CBM-702,woodpecker,0.7710630018059944,5.589297111,0.0001,50,alpha_0.0_s2v
CBM-702,reptile,0.5130683649340221,5.656324398,0.1429,50,alpha_0.0_s2v
CBM-702,snake,0.6725644799991611,6.615078486,0.0001,50,alpha_0.0_s2v
CBM-702,snail,0.6905141210296876,5.853805252,0.75,50,alpha_0.0_s2v
CBM-702,goldfish,0.6964146234941938,5.475262847,0.0001,50,alpha_0.0_s2v
CBM-702,fish,0.7695593013208489,7.344814258,0.2857,50,alpha_0.0_s2v
CBM-702,dog,0.5540716263088391,7.256114028,0.0001,50,alpha_0.0_s2v
CBM-702,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CBM-702,rodents,0.3273108741375361,5.818422536,0.1429,50,alpha_0.0_s2v
CBM-702,snake,0.2953015463376931,6.615078486,0.1429,50,alpha_0.0_s2v
CBM-702,pets,0.3196347890433052,6.144792078,0.0001,50,alpha_0.0_s2v
CBM-702,rabbit,0.5614001726582377,6.568628649,0.0001,50,alpha_0.0_s2v
CBM-702,reptile,0.5469820753415336,5.656324398,0.1667,50,alpha_0.0_s2v
CBM-702,polar,0.3841956603120493,6.534516632,0.1667,50,alpha_0.0_s2v
CBM-702,grizzly,0.3241151310566369,5.735626042,0.1667,50,alpha_0.0_s2v
CBM-702,bear,0.48724259847293894,7.366226929,0.0001,50,alpha_0.0_s2v
CBM-702,hedgehog,0.5247726410950274,5.301448888,0.1667,50,alpha_0.0_s2v
CBP-707,cow,0.0001,6.679047222,0.0001,50,alpha_0.0_s2v
CBP-707,pig,0.6984894678873143,6.611542969,0.0001,50,alpha_0.0_s2v
CBP-707,dog,0.7101723921527486,7.256114028,0.3333,50,alpha_0.0_s2v
CBP-707,cat,0.87457859760686,7.013143358,0.0001,50,alpha_0.0_s2v
CBP-707,fish,0.5811393626954857,7.344814258,0.0001,50,alpha_0.0_s2v
CBP-707,bird,0.5424227449726353,7.119400245,0.0001,50,alpha_0.0_s2v
CBP-707,horse,0.4353306773915011,7.396710537,0.0001,50,alpha_0.0_s2v
CBP-707,elephant,0.6779566278531606,6.363660295,0.0001,50,alpha_0.0_s2v
CBP-707,tiger,0.6005211133387937,6.38952206,0.0001,50,alpha_0.0_s2v
CBP-707,feline,0.4633312509301666,5.559176205,0.0001,50,alpha_0.0_s2v
CBP-707,penguin,0.5081425665583152,6.25042049,0.1429,50,alpha_0.0_s2v
CBP-707,fish,0.48528669996742124,7.344814258,0.0001,50,alpha_0.0_s2v
CBP-707,shark,0.7093772702257075,6.054603863,0.0001,50,alpha_0.0_s2v
CBP-707,dolphin,0.5310170102931813,5.864843201,0.1667,50,alpha_0.0_s2v
CBP-707,whale,0.5913816539767757,6.338615042,0.1667,50,alpha_0.0_s2v
CBP-707,ant,0.5492783494468824,6.426146105,0.0001,50,alpha_0.0_s2v
CBP-707,centipede,0.4609162142238491,4.986283438,0.25,50,alpha_0.0_s2v
CBP-707,insect,0.37804991148072575,6.519563532,0.125,50,alpha_0.0_s2v
CBP-707,lizard,0.6524504946475616,5.89522027,0.0001,50,alpha_0.0_s2v
CBP-707,reptile,0.6547338103244728,5.656324398,0.0001,50,alpha_0.0_s2v
CBP-707,snake,0.6725644799991611,6.615078486,0.0001,50,alpha_0.0_s2v
CBP-707,mouse,0.7554962543955507,6.776846046,0.0001,50,alpha_0.0_s2v
CBP-707,rat,0.7683530547413481,6.766463413,0.0001,50,alpha_0.0_s2v
CBS-711,bear,0.0001,7.366226929,0.0001,50,alpha_0.0_s2v
