SID,entry,evaluation
CCH-726,bird,FOUND
CCH-726,duck,FOUND
CCH-726,turtle,FOUND
CCH-726,feline,FOUND
CCH-726,jaguar,FOUND
CCH-726,panther,FOUND
CCH-726,lion,FOUND
CCL-730,cat,FOUND
CCL-730,dog,FOUND
CCL-730,butterfly,FOUND
CCL-730,bee,FOUND
CCL-730,lion,FOUND
CCL-730,zebra,FOUND
CCL-730,tiger,FOUND
CCL-730,elephant,FOUND
CCL-730,bear,FOUND
CCL-730,kangaroo,FOUND
CCL-730,dolphin,FOUND
CCL-730,fish,FOUND
CCL-730,zebra,FOUND
CCL-730,fly,FOUND
CCL-730,flea,FOUND
CCL-730,tiger,FOUND
CCL-730,squirrel,FOUND
CCL-730,american,FOUND
CCL-730,possum,FOUND
CCL-730,rat,FOUND
CCL-730,mouse,FOUND
CCL-730,snake,FOUND
CCL-730,bird,FOUND
CCX-744,lion,FOUND
CCX-744,tiger,FOUND
CCX-744,bear,FOUND
CCX-744,african,FOUND
CCX-744,elephant,FOUND
CCX-744,dolphin,FOUND
CCX-744,whale,FOUND
CCX-744,snake,FOUND
CCX-744,rabbit,FOUND
CCX-744,lizard,FOUND
CCX-744,spider,FOUND
CCX-744,bat,FOUND
CCX-744,american,FOUND
CCX-744,fox,FOUND
CCX-744,wolf,FOUND
CCX-744,african,FOUND
CCX-744,deer,FOUND
CCX-744,fish,FOUND
CDG-753,tiger,FOUND
CDG-753,lion,FOUND
CDG-753,zebra,FOUND
CDG-753,mammoth,FOUND
CDG-753,elephant,FOUND
CDG-753,water,FOUND
CDG-753,hippopotamus,FOUND
CDG-753,african,FOUND
CDG-753,asian,FOUND
CDG-753,primate,FOUND
CDG-753,sloth,FOUND
CDG-753,fish,FOUND
CDG-753,eel,FOUND
CDG-753,fish,FOUND
CDG-753,shark,FOUND
CDG-753,dolphin,FOUND
CDG-753,whale,FOUND
CDG-753,monkey,FOUND
CDG-753,ape,FOUND
CDG-753,gorilla,FOUND
CDG-753,primate,FOUND
CDG-753,eagle,FOUND
CDG-753,hawk,FOUND
CDH-754,wolf,FOUND
CDH-754,bear,FOUND
CDH-754,reptile,FOUND
CDH-754,dragon,FOUND
CDH-754,pegasus,FOUND
CDH-754,reptile,FOUND
CDH-754,monster,FOUND
CDH-754,turtle,FOUND
CDH-754,fish,FOUND
CDH-754,frog,FOUND
CDH-754,turtle,FOUND
CDH-754,tortoise,FOUND
CDH-754,african,FOUND
CDM-759,dog,FOUND
CDM-759,cat,FOUND
CDM-759,elephant,FOUND
CDM-759,squirrel,FOUND
CDM-759,lion,FOUND
CDM-759,lioness,FOUND
CDM-759,fish,FOUND
CDM-759,deer,FOUND
CDM-759,rabbit,FOUND
CDM-759,squirrel,FOUND
CDM-759,pets,FOUND
CDM-759,bird,FOUND
CDM-759,cow,FOUND
CDM-759,lizard,FOUND
CDM-759,porcupine,FOUND
CDM-759,australian,FOUND
CDM-759,bird,FOUND
CDM-759,hippopotamus,FOUND
CDM-759,african,FOUND
CDR-764,primate,FOUND
CDR-764,monkey,FOUND
CDR-764,elephant,FOUND
CDR-764,bird,FOUND
CDR-764,eagle,FOUND
CDR-764,jaguar,FOUND
CDR-764,feline,FOUND
CDR-764,frog,FOUND
CDR-764,toad,FOUND
CDR-764,bird,FOUND
CDR-764,lion,FOUND
CDR-764,mouse,FOUND
CDR-764,bat,FOUND
CDR-764,fish,FOUND
CDR-764,ape,FOUND
CDR-764,primate,FOUND
CDR-764,rhinoceros,FOUND
CDU-767,cat,FOUND
CDU-767,dog,FOUND
CDU-767,fish,FOUND
CDU-767,tiger,FOUND
CDU-767,lion,FOUND
CDU-767,rabbit,FOUND
CDU-767,american,FOUND
CDU-767,deer,FOUND
CDU-767,mammoth,FOUND
CDU-767,whale,FOUND
CDU-767,shark,FOUND
CDU-767,bird,FOUND
CDU-767,penguin,FOUND
CDU-767,wolf,FOUND
CDU-767,badger,FOUND
CDU-767,fish,FOUND
CDU-767,baboon,FOUND
CDU-767,gorilla,FOUND
CDU-767,ape,FOUND
SGO-159,dog,FOUND
SGO-159,cat,FOUND
SGO-159,ferret,FOUND
SGO-159,pets,FOUND
SGO-159,mouse,FOUND
SGO-159,bird,FOUND
SGO-159,parrot,FOUND
SGO-159,elephant,FOUND
SGO-159,african,FOUND
SGO-159,rhinoceros,FOUND
SGO-159,snake,FOUND
SGO-159,gorilla,FOUND
SGO-159,ape,FOUND
SGO-159,monkey,FOUND
SGO-159,squirrel,FOUND
SGO-159,rodents,FOUND
SGO-159,american,FOUND
SGO-159,possum,FOUND
SGO-159,deer,FOUND
SGO-159,turkey,FOUND
SGO-159,coyote,FOUND
SGO-159,moose,FOUND
SGO-159,bug,FOUND
SGO-159,leopard,FOUND
SGO-159,lion,FOUND
SGO-159,leopard,FOUND
SGO-159,cow,FOUND
SGO-159,horse,FOUND
SGO-159,pig,FOUND
SGO-159,hog,FOUND
SGO-159,turkey,FOUND
SGO-159,rooster,FOUND
SGO-159,chicken,FOUND
SGO-159,turtle,FOUND
SGO-159,fish,FOUND
SGO-159,scorpion,FOUND
SIU-211,frog,FOUND
SIU-211,lizard,FOUND
SIU-211,snake,FOUND
SIU-211,lion,FOUND
SIU-211,tiger,FOUND
SIU-211,monkey,FOUND
SIU-211,bird,FOUND
SIU-211,lizard,FOUND
SIU-211,deer,FOUND
SIU-211,bear,FOUND
SIU-211,squirrel,FOUND
SIU-211,chipmunk,FOUND
SIU-211,skunk,FOUND
SIU-211,fish,FOUND
SIU-211,dog,FOUND
SIU-211,insects,FOUND
SIU-211,spider,FOUND
SIU-211,fly,FOUND
SIU-211,ant,FOUND
SIU-211,african,FOUND
SIU-211,elephant,FOUND
SIU-211,penguin,FOUND
SIU-211,hippopotamus,FOUND
SIZ-390,cat,FOUND
SIZ-390,dog,FOUND
SIZ-390,moose,FOUND
SIZ-390,cow,FOUND
SIZ-390,kangaroo,FOUND
SIZ-390,tiger,FOUND
SIZ-390,lion,FOUND
SIZ-390,tiger,FOUND
SIZ-390,elephant,FOUND
SIZ-390,hippopotamus,FOUND
SIZ-390,rhinoceros,FOUND
SIZ-390,water,FOUND
SIZ-390,african,FOUND
SIZ-390,whale,FOUND
SIZ-390,bird,FOUND
SIZ-390,primate,FOUND
SIZ-390,monkey,FOUND
SKE-234,lion,FOUND
SKE-234,feline,FOUND
SKE-234,rhinoceros,FOUND
SKE-234,zebra,FOUND
SKE-234,african,FOUND
SKE-234,gorilla,FOUND
SKE-234,monkey,FOUND
SKE-234,penguin,FOUND
SKE-234,polar,FOUND
SKE-234,seal,FOUND
SKE-234,killer,FOUND
SKE-234,dolphin,FOUND
SKE-234,shark,FOUND
SKE-234,wolf,FOUND
SKE-234,coyote,FOUND
SKE-234,squirrel,FOUND
SKE-234,chipmunk,FOUND
SKE-234,owl,FOUND
SKE-234,eagle,FOUND
SKE-234,dog,FOUND
SKE-234,cat,FOUND
SKE-234,pig,FOUND
SKE-234,horse,FOUND
SKE-234,cow,FOUND
SKE-234,chicken,FOUND
SKE-234,rooster,FOUND
SKE-234,duck,FOUND
SKE-234,sheep,FOUND
SMK-401,dog,FOUND
SMK-401,cat,FOUND
SMK-401,african,FOUND
SMK-401,monkey,FOUND
SMK-401,dolphin,FOUND
SMK-401,fish,FOUND
SMK-401,goldfish,FOUND
SMK-401,shark,FOUND
SMK-401,deer,FOUND
SMK-401,buck,FOUND
SMK-401,squirrel,FOUND
SMK-401,american,FOUND
SMK-401,beaver,FOUND
SMK-401,bird,FOUND
SMK-401,eagle,FOUND
SMK-401,tiger,FOUND
SMK-401,feline,FOUND
SMK-401,lion,FOUND
SMK-401,elephant,FOUND
SMK-401,skunk,FOUND
SMK-401,moose,FOUND
SMK-401,goose,FOUND
SMK-401,turkey,FOUND
SNI-300,dolphin,FOUND
SNI-300,killer,FOUND
SNI-300,whale,FOUND
SNI-300,shark,FOUND
SNI-300,water,FOUND
SNI-300,penguin,FOUND
SNI-300,african,FOUND
SNI-300,elephant,FOUND
SNI-300,alligator,FOUND
SNI-300,lizard,FOUND
SNI-300,feline,FOUND
SNI-300,tiger,FOUND
SNI-300,leopard,FOUND
SNI-300,jaguar,FOUND
SNI-300,dog,FOUND
SNI-300,cat,FOUND
SNI-300,parrot,FOUND
SNI-300,horse,FOUND
SNR-308,panther,FOUND
SNR-308,tiger,FOUND
SNR-308,feline,FOUND
SNR-308,dog,FOUND
SNR-308,shepherd,FOUND
SNR-308,pigeon,FOUND
SNR-308,falcon,FOUND
SNR-308,eagle,FOUND
SNR-308,fox,FOUND
SNR-308,wolf,FOUND
SNR-308,bear,FOUND
SNR-308,buffalo,FOUND
SNR-308,australian,FOUND
SNR-308,polar,FOUND
SNR-308,penguin,FOUND
SNR-308,kitten,FOUND
SNT-310,penguin,FOUND
SNT-310,elephant,FOUND
SNT-310,zebra,FOUND
SNT-310,bird,FOUND
SNT-310,frog,FOUND
SNT-310,dog,FOUND
SNT-310,cat,FOUND
SNT-310,bird,FOUND
SNT-310,pigeon,FOUND
SNT-310,bird,FOUND
SNT-310,pig,FOUND
SNT-310,cow,FOUND
SNT-310,horse,FOUND
SNT-310,insect,FOUND
SNT-310,squirrel,FOUND
SNT-310,mouse,FOUND
SNT-310,skunk,FOUND
SNT-310,american,FOUND
SNT-310,fox,FOUND
SNT-310,bear,FOUND
SNT-310,lion,FOUND
SNT-310,tiger,FOUND
SNT-310,panther,FOUND
SNT-310,cougar,FOUND
SNT-310,moose,FOUND
SNT-310,caribou,FOUND
SNT-310,deer,FOUND
SNV-312,cat,FOUND
SNV-312,dog,FOUND
SNV-312,fish,FOUND
SNV-312,turtle,FOUND
SNV-312,bird,FOUND
SNV-312,alligator,FOUND
SNV-312,tiger,FOUND
SNV-312,lion,FOUND
SNV-312,monkey,FOUND
SNV-312,african,FOUND
SNV-312,elephant,FOUND
SNV-312,snake,FOUND
SNV-312,frog,FOUND
SNV-312,worm,FOUND
SNV-312,bear,FOUND
SNV-312,wolf,FOUND
SNV-312,kangaroo,FOUND
SNV-312,water,FOUND
SNY-315,deer,FOUND
SNY-315,american,FOUND
SNY-315,squirrel,FOUND
SNY-315,possum,FOUND
SNY-315,dog,FOUND
SNY-315,cat,FOUND
SNY-315,rabbit,FOUND
SNY-315,zebra,FOUND
SNY-315,tiger,FOUND
SNY-315,lion,FOUND
SNY-315,leopard,FOUND
SNY-315,antelope,FOUND
SNY-315,cougar,FOUND
SNY-315,bear,FOUND
SNY-315,polar,FOUND
SNY-315,wolf,FOUND
SNY-315,sheep,FOUND
SNY-315,goat,FOUND
SNY-315,cow,FOUND
SNY-315,horse,FOUND
SOE-320,chicken,FOUND
SOE-320,goat,FOUND
SOE-320,rhinoceros,FOUND
SOE-320,cow,FOUND
SOE-320,horse,FOUND
SOE-320,cat,FOUND
SOE-320,dog,FOUND
SOE-320,elephant,FOUND
SOE-320,zebra,FOUND
SOE-320,lion,FOUND
SOE-320,bird,FOUND
SOE-320,asian,FOUND
SOE-320,polar,FOUND
SOQ-329,ant,FOUND
SOQ-329,insect,FOUND
SOQ-329,african,FOUND
SOQ-329,elephant,FOUND
SOQ-329,lion,FOUND
SOQ-329,tiger,FOUND
SOQ-329,dog,FOUND
SOQ-329,cat,FOUND
SOQ-329,fish,FOUND
SOQ-329,monkey,FOUND
SOQ-329,hippopotamus,FOUND
SOQ-329,rhinoceros,FOUND
SOQ-329,ape,FOUND
SOQ-329,shark,FOUND
SOQ-329,dolphin,FOUND
SOQ-329,seal,FOUND
SOQ-329,polar,FOUND
SOQ-329,bear,FOUND
SOQ-329,bird,FOUND
SOQ-329,crane,FOUND
SOQ-329,swan,FOUND
SOQ-329,pigeon,FOUND
SOQ-329,insect,FOUND
SOX-335,tiger,FOUND
SOX-335,lion,FOUND
SOX-335,elephant,FOUND
SOX-335,water,FOUND
SOX-335,dolphin,FOUND
SOX-335,fish,FOUND
SOX-335,penguin,FOUND
SOX-335,monkey,FOUND
SOX-335,shark,FOUND
SOX-335,whale,FOUND
SOX-335,fish,FOUND
SPA-338,frog,FOUND
SPA-338,horse,FOUND
SPA-338,tiger,FOUND
SPA-338,lion,FOUND
SPA-338,water,FOUND
SPA-338,hippopotamus,FOUND
SPA-338,dolphin,FOUND
SPA-338,shark,FOUND
SPA-338,fish,FOUND
SPA-338,zebra,FOUND
SPA-338,gazelle,FOUND
SPA-338,tiger,FOUND
SPA-338,alligator,FOUND
SPA-338,crocodile,FOUND
SPA-338,african,FOUND
SPA-338,elephant,FOUND
SPC-340,dog,FOUND
SPC-340,cat,FOUND
SPC-340,chicken,FOUND
SPC-340,rooster,FOUND
SPC-340,pig,FOUND
SPC-340,bird,FOUND
SPC-340,horse,FOUND
SPC-340,cow,FOUND
SPC-340,zebra,FOUND
SPC-340,feline,FOUND
SPC-340,leopard,FOUND
SPC-340,bear,FOUND
SPC-340,walrus,FOUND
SPC-340,seal,FOUND
SPC-340,dolphin,FOUND
SPC-340,african,FOUND
SPC-340,elephant,FOUND
SPC-340,monkey,FOUND
SPC-340,spider,FOUND
SPC-340,snake,FOUND
SPH-344,elephant,FOUND
